code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
2927101;;;;;casos insuficientes;;Não estimável
2927200;;;;;casos insuficientes;;Não estimável
2927309;;;;;casos insuficientes;;Não estimável
2927408;9,32327475001790e-01;8,08255393606448e-01;1,07544536976694e+00;3,36198965005646e-01;;5,04298447508470e-01;Estável
2927507;;;;;casos insuficientes;;Não estimável
2927606;;;;;casos insuficientes;;Não estimável
2927705;;;;;casos insuficientes;;Não estimável
2927804;;;;;casos insuficientes;;Não estimável
2927903;;;;;casos insuficientes;;Não estimável
2928000;;;;;casos insuficientes;;Não estimável
2928059;2,16095442868707e-01;4,83909443714665e-02;9,64999568310918e-01;4,47892534407337e-02;;1,11615380270365e-01;Estável
2928109;;;;;casos insuficientes;;Não estimável
2928208;;;;;casos insuficientes;;Não estimável
2928307;;;;;casos insuficientes;;Não estimável
2928406;;;;;casos insuficientes;;Não estimável
2928505;;;;;casos insuficientes;;Não estimável
2928604;;;;;casos insuficientes;;Não estimável
2928703;6,27866728875444e-01;5,09028985847615e-01;7,74448293101259e-01;1,37651733353642e-05;;1,83535644471522e-04;Decrescente
2928802;;;;;casos insuficientes;;Não estimável
2928901;6,98829922838707e-01;3,86728491097345e-01;1,26280652265629e+00;2,35214680435979e-01;;3,92188105877098e-01;Estável
2928950;;;;;casos insuficientes;;Não estimável
2929008;;;;;casos insuficientes;;Não estimável
2929057;;;;;casos insuficientes;;Não estimável
2929107;1,77865490621169e+00;1,34613953452927e+00;2,35013770433329e+00;5,10115131173923e-05;;4,70875505699006e-04;Crescente
2929206;;;;;casos insuficientes;;Não estimável
2929255;1,21423642856623e+00;8,66965982621819e-01;1,70060894430780e+00;2,58732667941936e-01;;4,19566488554491e-01;Estável
2929305;1,20301625297979e+00;9,87115624347515e-01;1,46613838261367e+00;6,70310933989402e-02;;1,51768513356091e-01;Estável
2929354;;;;;casos insuficientes;;Não estimável
2929370;;;;;casos insuficientes;;Não estimável
2929404;;;;;casos insuficientes;;Não estimável
2929503;4,83905266458902e-01;3,48112308105752e-01;6,72668852706940e-01;1,56418315140803e-05;;1,87701978168964e-04;Decrescente
2929602;1,35256799974978e+00;9,14378292921551e-01;2,00074762066129e+00;1,30568384056059e-01;;2,47217890753187e-01;Estável
2929701;;;;;casos insuficientes;;Não estimável
2929750;;;;;casos insuficientes;;Não estimável
2929800;;;;;casos insuficientes;;Não estimável
2929909;;;;;casos insuficientes;;Não estimável
2930006;;;;;casos insuficientes;;Não estimável
2930105;7,03997672148488e-01;4,86247178523506e-01;1,01926087035697e+00;6,30382982166098e-02;;1,48325407568494e-01;Estável
2930154;;;;;casos insuficientes;;Não estimável
2930204;;;;;casos insuficientes;;Não estimável
2930303;;;;;casos insuficientes;;Não estimável
2930402;;;;;casos insuficientes;;Não estimável
2930501;;;;;casos insuficientes;;Não estimável
2930600;;;;;casos insuficientes;;Não estimável
2930709;5,94706865748408e-01;4,14330091239676e-01;8,53609872046935e-01;4,82713524749767e-03;;1,86856848290232e-02;Decrescente
2930758;;;;;casos insuficientes;;Não estimável
2930766;5,97650640175363e-01;3,81245259845800e-01;9,36893714682487e-01;2,48225441366590e-02;;7,44676324099770e-02;Estável
2930774;;;;;casos insuficientes;;Não estimável
2930808;1,33520117514073e+00;1,06885811508549e+00;1,66791284356259e+00;1,08785773089606e-02;;3,83949787375079e-02;Crescente
2930907;;;;;casos insuficientes;;Não estimável
2931004;;;;;casos insuficientes;;Não estimável
2931053;;;;;casos insuficientes;;Não estimável
2931103;;;;;casos insuficientes;;Não estimável
2931202;;;;;casos insuficientes;;Não estimável
2931301;;;;;casos insuficientes;;Não estimável
2931350;9,47468165216218e-01;7,03034197340303e-01;1,27688799135849e+00;7,23001907494979e-01;;8,59012167320767e-01;Estável
2931400;;;;;casos insuficientes;;Não estimável
2931509;9,14733723825501e-01;6,64076242460755e-01;1,26000259006874e+00;5,85436146941880e-01;;7,39498290873953e-01;Estável
2931608;;;;;casos insuficientes;;Não estimável
2931707;;;;;casos insuficientes;;Não estimável
2931806;9,81390671647158e-01;8,08957643683136e-01;1,19057858951798e+00;8,48884599378569e-01;;9,17713080409264e-01;Estável
2931905;;;;;casos insuficientes;;Não estimável
2932002;;;;;casos insuficientes;;Não estimável
2932101;1,40588916968408e+00;1,01490041520095e+00;1,94750571369472e+00;4,04699690356591e-02;;1,07919917428424e-01;Estável
2932200;;;;;casos insuficientes;;Não estimável
2932309;;;;;casos insuficientes;;Não estimável
2932408;;;;;casos insuficientes;;Não estimável
2932457;;;;;casos insuficientes;;Não estimável
2932507;;;;;casos insuficientes;;Não estimável
2932606;;;;;casos insuficientes;;Não estimável
2932705;;;;;casos insuficientes;;Não estimável
2932804;1,22580745892502e+00;7,31185607962236e-01;2,05502393645831e+00;4,39924955760594e-01;;6,06793042428406e-01;Estável
2932903;;;;;casos insuficientes;;Não estimável
2933000;;;;;casos insuficientes;;Não estimável
2933059;;;;;casos insuficientes;;Não estimável
2933109;;;;;casos insuficientes;;Não estimável
2933158;;;;;casos insuficientes;;Não estimável
2933174;;;;;casos insuficientes;;Não estimável
2933208;;;;;casos insuficientes;;Não estimável
2933257;;;;;casos insuficientes;;Não estimável
2933307;1,07081676874573e+00;8,18894712906312e-01;1,40023929102865e+00;6,17092594456753e-01;;7,63413518915571e-01;Estável
2933406;;;;;casos insuficientes;;Não estimável
2933455;;;;;casos insuficientes;;Não estimável
2933505;;;;;casos insuficientes;;Não estimável
2933604;;;;;casos insuficientes;;Não estimável
3106655;;;;;casos insuficientes;;Não estimável
3107307;;;;;casos insuficientes;;Não estimável
3108255;1,12694761746185e+00;8,57111912781705e-01;1,48173291441160e+00;3,92090970087546e-01;;5,60129957267922e-01;Estável
3108503;;;;;casos insuficientes;;Não estimável
3108602;;;;;casos insuficientes;;Não estimável
3109402;;;;;casos insuficientes;;Não estimável
3111150;;;;;casos insuficientes;;Não estimável
3112703;;;;;casos insuficientes;;Não estimável
3115474;;;;;casos insuficientes;;Não estimável
3116159;1,25701186155926e+00;9,78525411915838e-01;1,61475501899034e+00;7,34418064501937e-02;;1,60236668618604e-01;Estável
3116506;;;;;casos insuficientes;;Não estimável
3117836;1,31339597717317e+00;1,07708236492851e+00;1,60155717800575e+00;7,06693290757972e-03;;2,62982457249172e-02;Crescente
3118809;1,35648348945420e+00;1,11461397498021e+00;1,65083831574471e+00;2,34322525145232e-03;;1,08148857759338e-02;Crescente
3120300;;;;;casos insuficientes;;Não estimável
3120870;;;;;casos insuficientes;;Não estimável
3123809;;;;;casos insuficientes;;Não estimável
3124302;;;;;casos insuficientes;;Não estimável
3126604;;;;;casos insuficientes;;Não estimável
3126703;;;;;casos insuficientes;;Não estimável
3127073;;;;;casos insuficientes;;Não estimável
3127339;;;;;casos insuficientes;;Não estimável
3127354;;;;;casos insuficientes;;Não estimável
