code_muni;name_muni;uf;regiao;pop_central;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebl;rme_sinan;examinados;positivos;posit_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;cluster;p_lisa_aj;Gi_cluster;n_anos_AA;classe_persistencia;RR_anual;classe_tendencia
3126703;Francisco Sá;MG;Norte de Minas;23475,99999999999;1;199980,8781026164;0,5000478093144830;3,99184829032732313;0,1768645592228338;0;0;;0,654;;69,1893246460343;52,875579501315627;Não significativo;0,4686757861635220;Não significativo;0;Sem cluster relevante;;Não estimável
2933257;Vereda;BA;Bahia;6003,00000000000;2;49138,4203765432;4,0701349059945038;3,97012800377573383;1,4395875808616174;0;0;;0,577;;59,4318686196183;40,612516644474034;Não significativo;0,3904098837209302;Não significativo;0;Sem cluster relevante;;Não estimável
3120870;Curral de Dentro;MG;Norte de Minas;7406,00000000000;1;61266,1656892741;1,6322222694198578;3,92700718543677896;0,5773093429414120;0;0;;0,585;;74,1909053666530;52,642359688652199;Não significativo;0,4419640316205534;Não significativo;0;Sem cluster relevante;;Não estimável
3162401;São João da Ponte;MG;Norte de Minas;23930,00000000000;5;197025,9039169834;2,5377373739174640;3,91027923039036995;0,8975857782009571;0;0;;0,569;;88,7552235025959;15,588198049892366;Não significativo;0,4137836842105263;Não significativo;0;Sem cluster relevante;1,97240736223456e+00;Crescente
2908705;Condeúba;BA;Bahia;17053,00000000001;5;138358,0624782235;3,6138118086085247;3,76451421265295094;1,2781882466799290;0;0;;0,582;;74,8085106382979;5,140425531914894;Não significativo;0,3636190839694657;Não significativo;0;Sem cluster relevante;9,06569336066729e-01;Estável
2903003;Barra do Mendes;BA;Bahia;13836,00000000001;4;111371,2014466006;3,5915927529235532;3,75109930819285564;1,2703294711451310;0;0;;0,630;;64,8096748612213;0,317208564631245;Não significativo;0,3904098837209302;Não significativo;0;Sem cluster relevante;;Não estimável
2910206;Dom Macedo Costa;BA;Bahia;4407,00000000000;2;34344,5893741813;5,8233335627052503;3,73547016847771518;2,0596857032277538;0;0;;0,632;;76,6320927394753;7,016473459426479;Não significativo;0,4790476190476191;Não significativo;0;Sem cluster relevante;;Não estimável
2901205;Anagé;BA;Bahia;25437,99999999998;7;188001,6817848543;3,7233709472932652;3,70313160421251419;1,3169387989498693;0;0;;0,540;;27,3352112676056;11,042253521126760;Não significativo;0,4142352941176471;Não significativo;0;Sem cluster relevante;9,62315375470006e-01;Estável
2914208;Irajuba;BA;Bahia;6101,00000000000;2;53842,5201335164;3,7145363832162501;3,61836839556395340;1,3138140551707709;0;0;;0,576;;66,8188041989959;0,912825193975354;Não significativo;0,3911258620689655;Não significativo;0;Sem cluster relevante;;Não estimável
2914604;Irecê;BA;Bahia;74507,00000000003;22;601080,9018458052;3,6600730338365732;3,53134182036992339;1,2945506245499245;0;0;;0,691;;98,9531616826387;28,903513835969676;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;6,87465672271855e-01;Decrescente
3130051;Icaraí de Minas;MG;Norte de Minas;10677,00000000000;3;91462,8604771416;3,2800198729294716;3,50631126439188767;1,1601276083242793;0;0;;0,624;;72,7411477411477;21,245421245421245;Não significativo;0,0503000000000000;Hot spot;1;Cluster de alto risco esporádico (1-2 anos);;Não estimável
2921401;Mirangaba;BA;Bahia;15733,99999999999;5;137653,9068176250;3,6322979242604458;3,48104260540797394;1,2847266988751336;0;0;;0,542;;68,9024390243902;18,489956958393115;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;2,67852442644427e+00;Crescente
